id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Solara,r&b,romantic,0.61,94,0.78,0.71,0.45
12,Neon Jungle,Bassline Cartel,hip-hop,confident,0.84,96,0.66,0.85,0.08
13,Raindrop Sonata,Clara Voss,classical,peaceful,0.22,58,0.74,0.38,0.97
14,Shatter the Walls,Iron Verdict,metal,angry,0.97,168,0.31,0.72,0.04
15,3AM Thoughts,Hollow Pine,indie folk,sad,0.33,67,0.29,0.44,0.88
16,Carnival Lights,Mambo Celestial,latin,euphoric,0.79,128,0.91,0.93,0.14
17,Static Dreams,Vaporfield,electronic,moody,0.68,122,0.43,0.76,0.11
18,Front Porch Summer,The Dusk Tones,country,nostalgic,0.48,104,0.72,0.63,0.81
19,Burning Patience,Reeva,soul,melancholy,0.55,85,0.38,0.58,0.67
20,Pixel Sunset,Chroma Kids,chillwave,dreamy,0.44,95,0.69,0.67,0.58